Latitude,Longitude,Unique Squirrel ID,Shift,Date,Age,Primary Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail Flags,Tail Twitches,Approaches,Indifferent,Runs From
40.78903818094410000000,-73.96624389966810000000,28A-PM-1007-05,PM,2018-10-07,Adult,Cinnamon,Ground Plane,,true,false,false,false,true,,false,false,false,false,true,false,false,true
40.78208185169570000000,-73.96431539204280000000,22F-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,,false,false,false,false,false,,false,false,false,false,false,false,false,false
40.77579573804630000000,-73.97420734529130000000,12B-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,,false,true,false,false,false,,false,false,false,true,false,false,true,false
40.78139110361790000000,-73.97161470615530000000,18A-PM-1018-01,PM,2018-10-18,Adult,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.79287117600610000000,-73.95354106570770000000,36H-PM-1008-02,PM,2018-10-08,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.78917746379880000000,-73.96391592984460000000,29C-AM-1007-06,AM,2018-10-07,Adult,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,true
40.79593377950270000000,-73.95795643386270000000,38C-PM-1014-09,PM,2018-10-14,Adult,Black,Ground Plane,,false,false,false,true,false,,false,false,false,false,false,true,false,false
40.78925084286220000000,-73.95746480975430000000,31H-PM-1008-02,PM,2018-10-08,Juvenile,Gray,Above Ground,,true,false,true,false,false,,false,false,false,false,true,false,true,false
40.77059995882220000000,-73.97025267533100000000,8H-AM-1017-06,AM,2018-10-17,Adult,Gray,Above Ground,,false,true,false,true,false,,false,false,false,false,false,false,true,false
40.79186134984070000000,-73.95796459404140000000,34F-AM-1007-01,AM,2018-10-07,Adult,Gray,Above Ground,,true,false,true,false,false,,false,false,false,false,false,false,false,true
40.77495052529810000000,-73.96732534173050000000,13H-PM-1010-02,PM,2018-10-10,Adult,Gray,Above Ground,tree,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.78203098254480000000,-73.96400328265290000000,22F-PM-1014-06,PM,2018-10-14,Adult,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,true,false,true,false
40.79058473323690000000,-73.95959331954090000000,32E-AM-1007-13,AM,2018-10-07,Adult,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.79377969942100000000,-73.96022221167080000000,35C-AM-1007-05,AM,2018-10-07,Adult,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.77924987364700000000,-73.96806350709490000000,17E-AM-1017-05,AM,2018-10-17,Adult,Black,Above Ground,Branch,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.76869053392120000000,-73.98016664354010000000,2B-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,true,false,false,false,false,running (with nut),false,false,false,false,false,false,false,false
